scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
Trial 3 Correct,cvlt3_brief_03,cvlt3_brief,CVLT-3 Brief,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the third trial of a list-learning task
Trial 4 Correct,cvlt3_brief_04,cvlt3_brief,CVLT-3 Brief,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the fourth trial of a list-learning task
Trials 1-4 Correct,cvlt3_brief_06,cvlt3_brief,CVLT-3 Brief,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,standard_score,Learning and recall of rote verbal information (word list)
Short Delay Free Recall Correct,cvlt3_brief_08,cvlt3_brief,CVLT-3 Brief,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Immediate free recall of a word list
Short Delay Cued Recall Correct,cvlt3_brief_09,cvlt3_brief,CVLT-3 Brief,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Immediate cued recall of a word list
Long Delay Free Recall Correct,cvlt3_brief_10,cvlt3_brief,CVLT-3 Brief,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Long-term delayed free recall of a word list
Long Delay Cued Recall Correct,cvlt3_brief_11,cvlt3_brief,CVLT-3 Brief,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Long-term delayed cued recall of a word list
Total Hits,cvlt3_brief_12,cvlt3_brief,CVLT-3 Brief,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition total hits
Total False Positives,cvlt3_brief_13,cvlt3_brief,CVLT-3 Brief,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition total false positives
Recognition Discriminability (d'),cvlt3_brief_14,cvlt3_brief,CVLT-3 Brief,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition discriminability
Total Intrusions,cvlt3_brief_15,cvlt3_brief,CVLT-3 Brief,Memory,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,scaled_score,Total number of intrusive response errors
Total Repetitions,cvlt3_brief_16,cvlt3_brief,CVLT-3 Brief,Memory,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,scaled_score,Total number of repetitive response errors
CVLT-3 Forced-Choice Recognition Hits,cvlt3_brief_17,cvlt3_brief,CVLT-3 Brief,Performance Validity,Cognitive Effort,Forced-Choice Recognition Memory,Attention,verbal,Untimed,validity_indicator,raw_score,Number of hits on forced-choice recognition trials (raw score)
DCT E-Score,,dct,Dot Counting Test,Performance Validity,Cognitive Effort,Reaction Time,,,,validity_indicator,raw_score,DCT effort testing
Color Naming Total Errors,,dkefs,D-KEFS Color-Word Interference,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,,npsych_test,percentile,Color naming errors
Inhibition,,dkefs,D-KEFS Color-Word Interference,Attention/Executive,Executive,Inhibition,Attention,Verbal,Timed,npsych_test,scaled_score,Inhibition/cognitive control
Inhibition Total Errors,,dkefs,D-KEFS Color-Word Interference,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,scaled_score,Inhibition errors
Inhibition/Switching,,dkefs,D-KEFS Color-Word Interference,Attention/Executive,Executive,Set-Shifting,Attention,Verbal,Timed,npsych_test,scaled_score,Set-shifting/cognitive flexibility
Inhibition/Switching Total Errors,,dkefs,D-KEFS Color-Word Interference,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,scaled_score,Switching errors
Word Reading Total Errors,,dkefs,D-KEFS Color-Word Interference,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,,npsych_test,percentile,Word reading errors
Color Naming,,dkefs,D-KEFS Color-Word Interference,Verbal/Language,Rapid Naming,Naming Facility,Sequential,Verbal,Timed,npsych_test,scaled_score,Rapid color naming
Word Reading,,dkefs,D-KEFS Color-Word Interference,Verbal/Language,Rapid Naming,Naming Facility,Sequential,Verbal,Timed,npsych_test,scaled_score,Rapid word reading
Unstructured Task,examiner_01,examiner,NIH EXAMINER,Attention/Executive,Executive,Planning,Planning,Nonverbal,Timed,npsych_test,t_score,Strategic planning and organization aptitude to formulate an action in advance of performance or intended performance
Letter Fluency,examiner_02,examiner,NIH EXAMINER,Verbal/Language,Fluency,Phonemic Fluency,Sequential,Verbal,Timed,npsych_test,t_score,The patient's ability to generate words that fit a specific phonemic category within a time limit
Category Fluency,examiner_03,examiner,NIH EXAMINER,Verbal/Language,Fluency,Semantic Fluency,Sequential,Verbal,Timed,npsych_test,t_score,The patient's ability to generate words within specific semantically-related categories
Academic Fluency Composite,,ktea3,KTEA-3,Academic Skills,Academic Fluency,Rate of Test-Taking,,,Timed,npsych_test,standard_score,"Overall academic fluency in reading, math, and writing"
Academic Skills Battery (ASB) Composite,,ktea3,KTEA-3,Academic Skills,Academic Achievement,Total Achievement,,,Untimed,npsych_test,standard_score,"Overall academic achievement in the areas of reading, math, and writing"
Decoding Composite,,ktea3,KTEA-3,Academic Skills,Reading,Reading Decoding,Sequential,,Untimed,npsych_test,standard_score,Composite estimate of decontextualized phonic decoding and word reading skills
Decoding Fluency,,ktea3,KTEA-3,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,Phonic decoding fluency
Letter & Word Recognition,,ktea3,KTEA-3,Academic Skills,Reading,Reading Decoding,Sequential,Verbal,Untimed,npsych_test,standard_score,Single word reading/decoding of a list of regular and irregular words
Letter Naming Facility,,ktea3,KTEA-3,Academic Skills,Reading,Naming Facility,Sequential,,Timed,npsych_test,standard_score,Rapid automatic naming (letters)
Math Composite,,ktea3,KTEA-3,Academic Skills,Math,Quantitative Reasoning,Simultaneous,,Untimed,npsych_test,standard_score,Estimate of overall mathematics skills in the domains of math comprehension and problem solving and math computation
Math Computation,,ktea3,KTEA-3,Academic Skills,Math,Mathematical Achievement,Simultaneous,Nonverbal,Untimed,npsych_test,standard_score,"Paper and pencil math calculation skills, ranging from basic operations with integers to geometry, algebra, and calculus problems"
Math Concepts & Applications,,ktea3,KTEA-3,Academic Skills,Math,Mathematical Knowledge,Simultaneous,,Untimed,npsych_test,standard_score,"Applying mathematical principles to real-life situations, ranging from basic concepts, everyday applications, geometry, and algebra"
Math Fluency,,ktea3,KTEA-3,Academic Skills,Math,Number Facility,Simultaneous,Nonverbal,Timed,npsych_test,standard_score,"Overall speed/fluency in solving fact-based addition, subtraction, and multiplication problems"
Nonsense Word Decoding,,ktea3,KTEA-3,Academic Skills,Reading,Reading Decoding,Sequential,,Untimed,npsych_test,standard_score,Phonic decoding skills by reading aloud a list of pseudowords
Object Naming Facility,,ktea3,KTEA-3,Academic Skills,Reading,Naming Facility,Sequential,,Timed,npsych_test,standard_score,Rapid automatic naming (objects)
Orthographic Processing Composite,,ktea3,KTEA-3,Academic Skills,Reading,Reading and Writing,Sequential,,Untimed,npsych_test,standard_score,"Overall measure of orthographic processing, including the size of the examinees orthographic lexicon and the quality of orthographic representations"
Phonological Processing,,ktea3,KTEA-3,Academic Skills,Reading,Phonetic Coding,Simultaneous,,Untimed,npsych_test,standard_score,Auditory processing of phonemic proficiency and phonic decoding skills
Reading Composite,,ktea3,KTEA-3,Academic Skills,Reading,Reading Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Composite score of decoding and comprehension that balances word-level and text-level reading skills
Reading Comprehension,,ktea3,KTEA-3,Academic Skills,Reading,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,standard_score,"Reading comprehension skills at the level of word, sentence, and passage"
Reading Fluency Composite,,ktea3,KTEA-3,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,General reading speed/fluncy
Reading Understanding Composite,,ktea3,KTEA-3,Academic Skills,Reading,Reading Comprehension,Sequential,,Untimed,npsych_test,standard_score,"Reading comprehension skills at the level of word, sentence, and passage"
Reading Vocabulary,,ktea3,KTEA-3,Academic Skills,Reading,Reading Comprehension,Sequential,,Untimed,npsych_test,standard_score,Vocabulary reading comprehension
Silent Reading Fluency,,ktea3,KTEA-3,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,Non oral reading fluency
Sound-Symbol Composite,,ktea3,KTEA-3,Academic Skills,Reading,Phonological Processing,Sequential,,Untimed,npsych_test,standard_score,Composite measure of reading and spelling skills??
Spelling,,ktea3,KTEA-3,Academic Skills,Writing,Spelling Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Written spelling of words from dictations
Word Recognition Fluency,,ktea3,KTEA-3,Academic Skills,Reading,Reading Speed,Sequential,,Timed,npsych_test,standard_score,"Orthographic lexicon, or sight vocabulary fluency"
Writing Fluency,,ktea3,KTEA-3,Academic Skills,Writing,Writing Speed,Sequential,,Timed,npsych_test,standard_score,Sentence level writing fluency
Written Expression,,ktea3,KTEA-3,Academic Skills,Writing,Writing Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Overall written expression skills including spelling and expository/contextual writing
Written Language Composite,,ktea3,KTEA-3,Academic Skills,Writing,Written Language Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Overall written expression skills including spelling and expository/contextual writing
Associational Fluency,,ktea3,KTEA-3,Verbal/Language,Fluency,Semantic Fluency,Sequential,Verbal,Untimed,npsych_test,standard_score,Semantic word fluency
Comprehension Composite,,ktea3,KTEA-3,Verbal/Language,Comprehension,Comprehension-Knowledge,Sequential,Verbal,Untimed,npsych_test,standard_score,Estimate of general language comprehension skills
Expression Composite,,ktea3,KTEA-3,Verbal/Language,Expression,Comprehension-Knowledge,Sequential,Verbal,Untimed,npsych_test,standard_score,Estimate of oral language expression skills
Listening Comprehension,,ktea3,KTEA-3,Verbal/Language,Comprehension,Listening Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,"Receptive language comprehension at the level of the word, sentence, and passage"
Oral Expression,,ktea3,KTEA-3,Verbal/Language,Expression,Communication Ability,Sequential,Verbal,Timed,npsych_test,standard_score,Oral expression at the level of the word and sentence
Oral Fluency Composite,,ktea3,KTEA-3,Verbal/Language,Expression,Communication Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,General expressive language fluency
Oral Language Composite,,ktea3,KTEA-3,Verbal/Language,Oral Language,Comprehension-Knowledge,Sequential,Verbal,Untimed,npsych_test,standard_score,"Overall estimate of receptive and expressive language skills at the level of the word, sentence, passage, and discourse"
Attention Index (ATT),nab_01,nab,NAB,Attention/Executive,Attention,Attention Index,NA,NA,NA,npsych_test,standard_score,An overall measure of the examinee's attentional functioning
Executive Functions Index (EXE),nab_05,nab,NAB,Attention/Executive,Executive,Executive Index,NA,NA,NA,npsych_test,standard_score,"A composite measure of executive skills involving planning, inhibition, speed/fluency, and generativity"
Orientation,nab_07,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,percentile,"Orientation to person, place, time, and situation"
Orientation to Self,nab_08,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Self
Orientation to Time,nab_09,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Time
Orientation to Place,nab_10,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Place
